"county","fips","vtd","cntyvtd","office","name_can","party","incumbent","votes"
"Galveston                     ",167,"0169","1670169","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"0170","1670170","RR Comm 1","Salinas","G","N",37
"Galveston                     ",167,"0172","1670172","RR Comm 1","Salinas","G","N",5
"Galveston                     ",167,"0192","1670192","RR Comm 1","Salinas","G","N",9
"Galveston                     ",167,"0193","1670193","RR Comm 1","Salinas","G","N",37
"Galveston                     ",167,"0197","1670197","RR Comm 1","Salinas","G","N",11
"Galveston                     ",167,"0218","1670218","RR Comm 1","Salinas","G","N",56
"Galveston                     ",167,"0219","1670219","RR Comm 1","Salinas","G","N",35
"Galveston                     ",167,"0220","1670220","RR Comm 1","Salinas","G","N",80
"Galveston                     ",167,"0221","1670221","RR Comm 1","Salinas","G","N",26
"Galveston                     ",167,"0223","1670223","RR Comm 1","Salinas","G","N",53
"Galveston                     ",167,"0224","1670224","RR Comm 1","Salinas","G","N",79
"Galveston                     ",167,"0225","1670225","RR Comm 1","Salinas","G","N",24
"Galveston                     ",167,"0226","1670226","RR Comm 1","Salinas","G","N",21
"Galveston                     ",167,"0227","1670227","RR Comm 1","Salinas","G","N",34
"Galveston                     ",167,"0228","1670228","RR Comm 1","Salinas","G","N",25
"Galveston                     ",167,"0232","1670232","RR Comm 1","Salinas","G","N",32
"Galveston                     ",167,"0258","1670258","RR Comm 1","Salinas","G","N",23
"Galveston                     ",167,"0263","1670263","RR Comm 1","Salinas","G","N",91
"Galveston                     ",167,"0274","1670274","RR Comm 1","Salinas","G","N",13
"Galveston                     ",167,"0275","1670275","RR Comm 1","Salinas","G","N",2
"Galveston                     ",167,"0276","1670276","RR Comm 1","Salinas","G","N",35
"Galveston                     ",167,"0277","1670277","RR Comm 1","Salinas","G","N",19
"Galveston                     ",167,"0278","1670278","RR Comm 1","Salinas","G","N",29
"Galveston                     ",167,"0279","1670279","RR Comm 1","Salinas","G","N",13
"Galveston                     ",167,"0280","1670280","RR Comm 1","Salinas","G","N",2
"Galveston                     ",167,"0281","1670281","RR Comm 1","Salinas","G","N",2
"Galveston                     ",167,"0283","1670283","RR Comm 1","Salinas","G","N",45
"Galveston                     ",167,"0301","1670301","RR Comm 1","Salinas","G","N",15
"Galveston                     ",167,"0306","1670306","RR Comm 1","Salinas","G","N",97
"Galveston                     ",167,"0309","1670309","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"0311","1670311","RR Comm 1","Salinas","G","N",10
"Galveston                     ",167,"0312","1670312","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"0314","1670314","RR Comm 1","Salinas","G","N",73
"Galveston                     ",167,"0315","1670315","RR Comm 1","Salinas","G","N",89
"Galveston                     ",167,"0330","1670330","RR Comm 1","Salinas","G","N",19
"Galveston                     ",167,"0331","1670331","RR Comm 1","Salinas","G","N",28
"Galveston                     ",167,"0334","1670334","RR Comm 1","Salinas","G","N",4
"Galveston                     ",167,"0336","1670336","RR Comm 1","Salinas","G","N",34
"Galveston                     ",167,"0338","1670338","RR Comm 1","Salinas","G","N",46
"Galveston                     ",167,"0340","1670340","RR Comm 1","Salinas","G","N",8
"Galveston                     ",167,"0341","1670341","RR Comm 1","Salinas","G","N",26
"Galveston                     ",167,"0343","1670343","RR Comm 1","Salinas","G","N",31
"Galveston                     ",167,"0345","1670345","RR Comm 1","Salinas","G","N",5
"Galveston                     ",167,"0347","1670347","RR Comm 1","Salinas","G","N",17
"Galveston                     ",167,"0389","1670389","RR Comm 1","Salinas","G","N",7
"Galveston                     ",167,"0391","1670391","RR Comm 1","Salinas","G","N",2
"Galveston                     ",167,"0394","1670394","RR Comm 1","Salinas","G","N",2
