"geoid","geoid2","geodisplaylabel","hc02_est_vc02"
"1400000US48001950100","48001950100","Census Tract 9501, Anderson County, Texas","49700"
"1400000US48001950401","48001950401","Census Tract 9504.01, Anderson County, Texas","41607"
"1400000US48001950402","48001950402","Census Tract 9504.02, Anderson County, Texas","77656"
"1400000US48001950500","48001950500","Census Tract 9505, Anderson County, Texas","30632"
"1400000US48001950600","48001950600","Census Tract 9506, Anderson County, Texas","33750"
"1400000US48001950700","48001950700","Census Tract 9507, Anderson County, Texas","30518"
"1400000US48001950800","48001950800","Census Tract 9508, Anderson County, Texas","51917"
"1400000US48001950901","48001950901","Census Tract 9509.01, Anderson County, Texas","42065"
"1400000US48001950902","48001950902","Census Tract 9509.02, Anderson County, Texas","37441"
"1400000US48001951000","48001951000","Census Tract 9510, Anderson County, Texas","47819"
"1400000US48001951100","48001951100","Census Tract 9511, Anderson County, Texas","45208"
"1400000US48003950100","48003950100","Census Tract 9501, Andrews County, Texas","89028"
"1400000US48003950200","48003950200","Census Tract 9502, Andrews County, Texas","83750"
"1400000US48003950300","48003950300","Census Tract 9503, Andrews County, Texas","59063"
"1400000US48003950400","48003950400","Census Tract 9504, Andrews County, Texas","52219"
"1400000US48005000101","48005000101","Census Tract 1.01, Angelina County, Texas","52564"
"1400000US48005000102","48005000102","Census Tract 1.02, Angelina County, Texas","51846"
"1400000US48005000200","48005000200","Census Tract 2, Angelina County, Texas","42670"
"1400000US48005000301","48005000301","Census Tract 3.01, Angelina County, Texas","51279"
"1400000US48005000302","48005000302","Census Tract 3.02, Angelina County, Texas","39395"
"1400000US48005000400","48005000400","Census Tract 4, Angelina County, Texas","27439"
"1400000US48005000500","48005000500","Census Tract 5, Angelina County, Texas","22465"
"1400000US48005000600","48005000600","Census Tract 6, Angelina County, Texas","39640"
"1400000US48005000700","48005000700","Census Tract 7, Angelina County, Texas","30393"
"1400000US48005000800","48005000800","Census Tract 8, Angelina County, Texas","44817"
"1400000US48005000901","48005000901","Census Tract 9.01, Angelina County, Texas","49321"
"1400000US48005000902","48005000902","Census Tract 9.02, Angelina County, Texas","57578"
"1400000US48005001001","48005001001","Census Tract 10.01, Angelina County, Texas","39503"
