"vtd","cntyvtd","d","r","winner"
"1065B","1131065B","0","0","T"
"1065C","1131065C","0","0","T"
"1071B","1131071B","0","0","T"
"1075B","1131075B","0","0","T"
"1077","1131077","0","0","T"
"1087B","1131087B","0","0","T"
"1087C","1131087C","0","0","T"
"1087D","1131087D","0","0","T"
"0001","10001","262","742","R"
"0002","10002","181","1318","R"
"0003","10003","94","663","R"
"0004","10004","96","869","R"
"0005","10005","9","180","R"
"0006","10006","334","348","R"
"0009","10009","146","605","R"
"0010","10010","37","296","R"
"0011","10011","130","592","R"
"0013","10013","268","749","R"
"0015","10015","84","514","R"
"0016","10016","78","413","R"
"0017","10017","119","374","R"
"0018","10018","185","1090","R"
"0019","10019","264","995","R"
"0020","10020","154","488","R"
"0021","10021","138","940","R"
"0022","10022","107","584","R"
"0023","10023","91","768","R"
"0024","10024","42","501","R"
"0101","1010101","21","149","R"
"0102","1010102","0","24","R"
"0201","1010201","18","166","R"
"0301","1010301","35","72","R"
"0401","1010401","17","95","R"
"0001","1030001","62","357","R"
"0002","1030002","66","295","R"
"0003","1030003","104","184","R"
"0004","1030004","67","213","R"
"0001","1050001","108","234","R"
"0002","1050002","89","280","R"
"0003","1050003","84","262","R"
"0004","1050004","91","204","R"
"0011","1070011","107","213","R"
"0027","1070027","131","355","R"
"0039","1070039","106","252","R"
"0044","1070044","124","361","R"
"03-3","10903-3","6","19","R"
"0101","110101","10","218","R"
"0201","110201","10","118","R"
"0202","110202","7","47","R"
"0301","110301","8","202","R"
"0303","110303","7","33","R"
"0401","110401","9","117","R"
"0402","110402","7","121","R"
"0404","110404","0","19","R"
"0001","1110001","28","187","R"
"0002","1110002","0","28","R"
"0003","1110003","0","9","R"
"0004","1110004","1","28","R"
"0005","1110005","0","11","R"
"0006","1110006","33","134","R"
"0007","1110007","51","223","R"
"0008","1110008","52","366","R"
"0009","1110009","57","275","R"
"1006","1131006","531","660","R"
"1007","1131007","91","181","R"
"1043","1131043","736","755","R"
"1044","1131044","709","804","R"
"1067","1131067","3","4","R"
"1124","1131124","1","1","T"
"1138","1131138","0","0","T"
"1140","1131140","0","0","T"
"1141A","1131141A","0","0","T"
"1141B","1131141B","0","0","T"
"1308B","1131308B","0","0","T"
"1317","1131317","0","0","T"
"1712B","1131712B","0","0","T"
"1730","1131730","0","0","T"
"1731","1131731","0","0","T"
"2000","1132000","1","1","T"
"2028A","1132028A","0","0","T"
"2028B","1132028B","0","0","T"
"1128","1131128","135","350","R"
"1300","1131300","645","672","R"
"1311","1131311","660","752","R"
