district,detail
1,"Texas's 1st congressional district in the United States House of Representatives is a Congressional district that serves the northeastern portion of the state of Texas. It consists largely of three small East Texas metropolitan areas—Lufkin-Nacogdoches, Longview-Marshall, and Tyler."
2,Texas's 2nd congressional district of the United States House of Representatives is in the southeastern portion of the state of Texas. It encompasses much of northern and western Houston.
3,"”Texas District 3 of the United States House of Representatives is a Congressional district that serves a suburban area north and northeast of Dallas. It encompasses a large portion of Collin County including McKinney, Plano, and Frisco."
4,”Texas District 4 of the United States House of Representatives is a Congressional district that serves an area of Northeast Texas that includes some counties along the Red River northeast of the Dallas/Fort Worth Metroplex.
5,"”Texas District 5 of the United States House of Representatives is a Congressional district that serves an area that includes the southeast portion of Dallas County including Mesquite plus a number of smaller counties south and east of Dallas including Anderson, Cherokee, Henderson and Kaufman counties."
6,Texas District 6 of the United States House of Representatives is a Congressional district that serves an area including four counties to the south of the Dallas/Fort Worth area plus the southeast corner of Tarrant County.
7,"”Texas District 7 of the United States House of Representatives is a Congressional district that serves a small area of western Harris County. One of the wealthiest districts in the state, District 7 includes several upscale areas of western Houston,  wealthy enclaves of Houston, ten incorporated suburbs, large areas of unincorporated suburbs."
8,Texas District 8 of the United States House of Representatives is a Congressional district that includes Montgomery County and Walker County. It includes much of the northern outlying areas of metro Houston.
9,Texas District 9 of the United States House of Representatives is a Congressional district that serves the southwestern portion of the Greater Houston area in Texas.
10,Texas District 10 of the United States House of Representatives is a congressional district that serves the northwestern portion of the Greater Houston region stretching to the Austin area of Texas. The current representative is Michael McCaul.
11,"Texas District 11 of the United States House of Representatives is a Congressional district that serves the midwestern portion of the state of Texas.
Major cities in the district are Lamesa, Midland, Odessa, San Angelo, Granbury, and Brownwood."
12,Texas District 12 of the United States House of Representatives is a Congressional district that serves the western half of Tarrant County as well as all of Parker and an eastern portion of Wise Counties in the state of Texas.
13,"Texas District 13 of the United States House of Representatives is a Congressional District of the U.S. state of Texas that includes most of the Texas Panhandle, parts of Texoma and northeastern parts of North Texas. It winds across the Panhandle into the South Plains, then runs east across the Red River Valley. Covering over 40,000 square miles (100,000 km2), it is the second-largest district geographically in Texas and larger in area than thirteen entire states. The principal cities in the district are Amarillo and Wichita Falls."
14,"Texas's 14th district for the United States House of Representatives is a Congressional district that from covered the area south and southwest of the Greater Houston region, including Galveston, in the state of Texas. The district now stretches from Freeport to Beaumont."
15,Texas District 15 of the United States House of Representatives is a Congressional district that serves a thin section of the far south of the state of Texas.
16,Texas District 16 of the United States House of Representatives is a Congressional district that serves El Paso and the surrounding area in the state of Texas.
17,Texas District 17 of the United States House of Representatives is a Congressional district that serves a strip of central Texas stretching from Waco to Bryan-College Station.
18,Texas District 18 of the United States House of Representatives is a Congressional district that serves much of inner city Houston and the surrounding area. It has been the Downtown Houston district since 1973.
19,Texas' Nineteenth Congressional District of the United States House of Representatives is a Congressional district that serves the upper midwestern portion of the state of Texas The district includes portions of the State from Lubbock to Abilene.
20,"Texas District 20 of the United States House of Representatives is a Congressional district that serves the western half of San Antonio and Bexar County in Texas. The district is heavily Latino/Hispanic (predominantly of Mexican descent), as is the surrounding area."
21,Texas District 21 of the United States House of Representatives is a Congressional district that serves the area north of San Antonio and a significant portion of Austin in the state of Texas.
22,"Texas's 22nd congressional district of the United States House of Representatives covers a largely suburban south-central portion of the Greater Houston metropolitan area. The district includes the majority of Fort Bend County, including most of the cities of Sugar Land, Missouri City, Rosenberg, Needville and the county seat of Richmond, as well as the county's share of the largely unincorporated Greater Katy area west of Houston. In addition, the district also contains portions of northern Brazoria County including Pearland and Alvin, as well as a small portion of southeast Harris County centered on Friendswood. It is also the most self-described ""Evangelical Christian"" congressional district in the country."
23,"The district runs along the majority of Texas's border with Mexico, just north of the Rio Grande. While it encompasses numerous county seats and a few towns of regional economic importance, the district is predominantly rural. It stretches from western San Antonio to just outside El Paso. Its large size is due to its low population density—one of the lowest in the country. It encompasses all of Big Bend National Park and Big Bend Ranch State Park. Major economic activities in the district include farming, ranching, oil and mineral extraction, recreation, manufacturing, and tourism."
24,"Texas District 24 of the United States House of Representatives is a Congressional district that serves a suburban area in between Fort Worth and Dallas in the state of Texas. The district centers along the Dallas-Tarrant county line, and includes the southeastern corner of Denton County as well."
25,Texas District 25 of the United States House of Representatives is a Congressional district that stretches from Fort Worth to Austin.
26,Texas District 26 of the United States House of Representatives is a Congressional district in the state of Texas that serves an area in the northern portion of the Dallas-Fort Worth Metroplex centering on Denton County.
27,Texas District 27 of the United States House of Representatives is a Congressional district that serves the coastal bend of Texas' Gulf Coast consisting of Corpus Christi and Victoria up to Bastrop County near Austin and Wharton County near Houston.
28,Texas District 28 of the United States House of Representatives is a Congressional district that serves a strip in deep south Texas starting south of San Antonio and ending at the U.S.-Mexico border.
29,"Texas District 29 of the United States House of Representatives is a Congressional district that serves the eastern portion of the Greater Houston area in the state of Texas.

The Texas State Legislature established the district so that a Hispanic or Latino could be elected as a member of Congress. Green, a non-Hispanic White, won the first election for the district in 1992. As of 2015 he is still the incumbent in the area."
30,Texas District 30 of the United States House of Representatives is a Congressional district that serves much of the city of Dallas and other parts of Dallas County (primarily black- and Hispanic-majority areas).
